Word,Word,N_Dens (S),N_Freq (S) [1],N_Freq (S) [2],"N_Dens (S,A,D)","N_Freq (S,A,D) [1]","N_Freq (S,A,D) [2]",Neighbours,Neighbours,Edit distance to nw,Phon spread,C_coeff (sub only),C_coeff (SAD),Uniqueness point,n_watch
abacus,ˈabəkəs,0,0,0,0,0,0,[],[],3,0,0,0,4,"[0, 0, 0, 0, 0, 0]"
abalone,ˌabəˈləʊni,0,0,0,0,0,0,[],[],2,0,0,0,5,"[0, 0, 0, 0, 0, 0, 0]"
abandon,əˈband(ə)n,0,0,0,1,2.831869774,2.831869774,['əˈband(ə)nd'],['abandoned'],2,0,0,0,8,"[0, 0, 0, 0, 0, 0, 0]"
abbreviate,əˈbriːvɪeɪt,0,0,0,0,0,0,[],[],5,0,0,0,9,"[0, 0, 0, 0, 0, 0, 0, 0]"
abbreviation,əbriːvɪˈeɪʃ(ə)n,0,0,0,0,0,0,[],[],3,0,0,0,8,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
abdomen,ˈabdəmən,0,0,0,0,0,0,[],[],2,0,0,0,4,"[0, 0, 0, 0, 0, 0, 0]"
abdominal,abˈdɒmɪn(ə)l,0,0,0,0,0,0,[],[],3,0,0,0,4,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
abduct,əbˈdʌkt,0,0,0,0,0,0,[],[],3,0,0,0,6,"[0, 0, 0, 0, 0, 0]"
abide,əˈbʌɪd,4,2.197487965,2.197487965,5,2.050469972,2.050469972,"['bʌɪd', 'əˈsʌɪd', 'əˈbɛd', 'əˈbɔːd', 'əˈbəʊd']","['bide', 'aside', 'abed', 'aboard', 'abode']",2,2,0.5,0.3,5,"[0, 1, 3, 0]"
ability,əˈbɪlɪti,1,1.380211242,1.380211242,1,1.380211242,1.380211242,['əˈdʒɪlɪti'],['agility'],4,1,0,0,4,"[0, 1, 0, 0, 0, 0, 0]"
ablaze,əˈbleɪz,0,0,0,1,2.033423755,2.033423755,['bleɪz'],['blaze'],2,0,0,0,5,"[0, 0, 0, 0, 0]"
able,ˈeɪb(ə)l,1,2.1430148,2.1430148,9,1.920415081,2.160466966,"['ˈbeɪb(ə)l', 'ˈteɪb(ə)l', 'ˈseɪb(ə)l', 'ˈleɪb(ə)l', 'ˈɡeɪb(ə)l', 'ˈfeɪb(ə)l', 'ˈkeɪb(ə)l', 'ˈeɪn(ə)l', 'ˈeɪbl']","['babel', 'table', 'sable', 'label', 'gable', 'fable', 'cable', 'anal', 'abell']",2,1,0,0.583333333,3,"[0, 1, 0, 0]"
abnormal,əbˈnɔːm(ə)l,0,0,0,0,0,0,[],[],3,0,0,0,4,"[0, 0, 0, 0, 0, 0, 0]"
abnormality,abnəˈmalɪti,0,0,0,0,0,0,[],[],3,0,0,0,4,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
abnormally,abˈnɔːməli,0,0,0,0,0,0,[],[],4,0,0,0,4,"[0, 0, 0, 0, 0, 0, 0, 0]"
aboard,əˈbɔːd,7,2.169536444,2.169536444,9,2.060074593,2.060074593,"['bɔːd', 'əˈwɔːd', 'əˈbɛd', 'əˈbʌɪd', 'əˈbəʊd', 'əˈbɔːt', 'əˈbrɔːd', 'əˈkɔːd', 'əˈfɔːd']","['bawd', 'award', 'abed', 'abide', 'abode', 'abort', 'abroad', 'accord', 'afford']",2,3,0.285714286,0.166666667,4,"[0, 3, 3, 1]"
abolish,əˈbɒlɪʃ,0,0,0,0,0,0,[],[],1,0,0,0,4,"[0, 0, 0, 0, 0, 0]"
abolition,abəˈlɪʃ(ə)n,0,0,0,0,0,0,[],[],4,0,0,0,9,"[0, 0, 0, 0, 0, 0, 0, 0]"
abolitionist,abəˈlɪʃ(ə)nɪst,0,0,0,0,0,0,[],[],6,0,0,0,9,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
